CRAC_Sample,CRAC_Date_Mapping,CRAC_Total_reads,CRAC_Unique_reads,CRAC_Unique_pct,CRAC_Multi_reads,CRAC_Multi_pct,CRAC_No_map_reads,CRAC_No_map_pct,CRAC_Dup_reads,CRAC_Dup_pct,CRAC_Explainable_reads,CRAC_Explainable_pct,CRAC_Rep_reads,CRAC_Rep_pct,CRAC_Normal_reads,CRAC_Normal_pct,CRAC_AlmostNormal_reads,CRAC_AlmostNormal_pct,CRAC_SeqErr_reads,CRAC_SeqErr_pct,CRAC_SNV_reads,CRAC_SNV_pct,CRAC_ShortIndel_reads,CRAC_ShortIndel_pct,CRAC_Splice_reads,CRAC_Splice_pct,CRAC_WeakSplice_reads,CRAC_WeakSplice_pct,CRAC_Chimera_reads,CRAC_Chimera_pct,CRAC_PE_Chimera_reads,CRAC_PE_Chimera_pct,CRAC_BioUndetermined_reads,CRAC_BioUndetermined_pct,CRAC_Undetermined_reads,CRAC_Undetermined_pct
202304-1409241167-SLA,2025-05-15,4194542,3878880,92.4745,95057,2.26621,53914,1.28534,166691,3.974,4101025,97.7705,60762,1.4486,4412,0.105184,0,0,1711333,40.799,459443,10.9534,11279,0.268897,985123,23.4858,1541,0.0367382,37546,0.895116,163858,3.90646,2989852,71.2796,2989852,71.2796
202304-1810111440-Control,2025-05-15,5512884,5129021,93.037,155801,2.82613,68243,1.23788,159819,2.89901,5411805,98.1665,81625,1.48062,5798,0.105172,0,0,2260335,41.001,372741,6.76127,7247,0.131456,1501299,27.2326,1169,0.0212049,27982,0.507575,147323,2.67234,3980068,72.1958,3980068,72.1958
202304-1912031641-SLA,2025-05-15,5698848,5135199,90.1094,147730,2.59228,89101,1.56349,326818,5.73481,5557206,97.5146,71062,1.24695,4345,0.0762435,0,0,1858872,32.6184,1019173,17.8838,20603,0.361529,1156344,20.2908,1777,0.0311817,77965,1.36808,346388,6.07821,4376112,76.7894,4376112,76.7894
202304-2006161710-SLA,2025-05-15,5808522,5356231,92.2133,168156,2.89499,74420,1.28122,209715,3.61047,5684137,97.8586,94496,1.62685,6510,0.112077,0,0,2198630,37.8518,643508,11.0787,15132,0.260514,1207964,20.7964,1499,0.0258069,52467,0.903276,224328,3.86205,4274668,73.593,4274668,73.593
202304-2102111799-SLA,2025-05-15,6522820,5903871,90.511,265869,4.07598,129289,1.9821,223791,3.43089,6305973,96.6756,150714,2.31057,6621,0.101505,0,0,2695592,41.3256,464088,7.11484,9737,0.149276,1569862,24.0672,2950,0.0452258,31866,0.488531,176719,2.70924,4567156,70.0181,4567156,70.0181
202304-2103051881-SLA,2025-05-15,6083646,5555437,91.3176,166494,2.73675,99620,1.6375,262095,4.30819,5904987,97.0633,95024,1.56196,5651,0.0928884,0,0,2127180,34.9655,900679,14.8049,18023,0.296253,1216091,19.9895,2739,0.0450223,70567,1.15995,325785,5.35509,4520977,74.3136,4520977,74.3136
202304-2105181882-SLA,2025-05-15,6292490,5835327,92.7348,169242,2.68959,78440,1.24657,209481,3.32906,6168777,98.034,83860,1.3327,6430,0.102185,0,0,2384892,37.9006,597799,9.5002,13238,0.210378,1604814,25.5036,1717,0.0272865,48272,0.767137,230961,3.67042,4622970,73.4681,4622970,73.4681
202304-2105201539-SLA,2025-05-15,5496188,5100925,92.8084,147202,2.67826,66017,1.20114,182044,3.31219,5394561,98.151,64291,1.16974,5490,0.0998874,0,0,2103910,38.2794,588959,10.7158,9883,0.179816,1369231,24.9124,1397,0.0254176,46218,0.84091,197615,3.59549,4035022,73.4149,4035022,73.4149
202312-2106212448-SLA,2025-05-15,6453114,5786964,89.6771,183649,2.8459,209285,3.24316,273216,4.23386,6180238,95.7714,117449,1.82004,5201,0.0805967,0,0,1569404,24.3201,588341,9.11716,18456,0.286001,1602458,24.8323,803,0.0124436,81374,1.261,149594,2.31817,5435586,84.232,5435586,84.232
202312-2108021909-SLA,2025-05-15,3809262,3340578,87.6962,158819,4.16929,146771,3.853,163094,4.28151,3619133,95.0088,85423,2.24251,2732,0.0717199,0,0,1090660,28.6318,333510,8.75524,11992,0.314812,840800,22.0725,404,0.0106057,52730,1.38426,80853,2.12254,3123940,82.0091,3123940,82.0091
