Geneid	gene_name	Chr	Length	202402-2401121737-SLA	202402-C01P026-Control	202402-C01P034-Control	202402-C01P040-Control	202402-C01P030-SLA	202402-2309211582-SLA	202402-C01P027-Control	202402-C01P039-SLA	202505S13-2411071506-SLA	202505S13-C01P035-SLA	202505S13-C01P148-SLA	202505S13-C01P038-SLA	202505S13-C01P041-SLA	202505S13-C01P022-SLA	202505S13-C01P086-Control	202505S13-C01P181-SLA	202505S15-C01P196-SLA	202505S15-C01P222-SLA	202505S15-C01P238-SLA	202505S15-C01P195-SLA	202505S15-C01P163-SLA	202505S15-C01P188-SLA	202505S15-C01P260-SLA	202505S15-C01P216-SLA	202408-C01P088-Control	202408-C01P073-SLA	202408-C01P075-SLA	202408-C01P094-Control	202408-C01P083-SLA	202408-C01P070-Control	202408-C01P090-SLA	202408-C01P095-Control	202505S14-C01P092-SLA	202505S14-C01P120-SLA	202505S14-C01P179-SLA	202505S14-C01P047-SLA	202505S14-C01P167-SLA	202505S14-C01P145-SLA	202505S14-C01P051-SLA	202505S14-C01P116-SLA	202401-C01P013-Control	202401-C01P017-Control	202401-C01P024-Control	202401-C01P003-Control	202401-C01P014-Control	202401-C01P012-Control	202401-C01P016-Control	202401-C01P023-Control	202404-C01P069-Control	202404-C01P059-Control	202404-C01P053-SLA	202404-C01P061-Control	202404-C01P068-Control	202404-C01P056-SLA	202404-C01P060-Control	202404-C01P057-SLA	202409-C01P089-SLA	202409-C01P128-SLA	202409-C01P006-SLA	202409-C01P035-SLA	202409-C01P082-SLA	202409-C01P154-SLA	202409-C01P135-SLA	202409-C01P138-SLA	202501-C01P138-SLA	202501-C01P135-SLA	202501-C01P082-SLA	202501-C01P253-SLA	202501-C01P128-SLA	202501-2406121482-SLA	202501-C01P089-SLA	202501-C01P006-SLA	202312-2306221774-SLA	202312-2106212448-SLA	202312-2108021909-SLA	202312-2306221661-SLA	202312-2309191962-SLA	202312-2307121892-SLA	202312-2306221684-Control	202312-2306221703-Control	202304-1409241167-SLA	202304-1912031641-SLA	202304-2006161710-SLA	202304-2105201539-SLA	202304-1810111440-Control	202304-2105181882-SLA	202304-2103051881-SLA	202304-2102111799-SLA	202501b-C01P278-SLA	202501b-C01P120-SLA	202501b-C01P276-SLA	202501b-C01P263-SLA	202501b-C01P269-SLA	202501b-C01P255-SLA	202501b-C01P159-SLA	202501b-C01P114-SLA
ENSG00000120948	TARDBP	1	4622	10865	10505	12881	8697	11089	17421	13737	10070	38935	33009	22733	27290	1076	30174	8468	5850	18301	26718	20773	27748	27619	21559	23059	19517	9167	6601	6766	8480	9131	15445	7423	4004	121696	5662	32836	12828	16274	17101	44327	28140	25871	36103	23378	40925	37361	31831	30242	30858	9653	5934	10192	4726	12734	2608	5977	10413	7690	3482	7092	7491	21089	154	5491	8600	8851	9534	23694	34363	2688	9577	15434	16393	30894	19760	11059	14557	18420	16518	21954	8014	18434	21939	27051	23173	36502	29854	28937	63889	25513	5	58878	16419	66718	14992	36979	52939
ENSG00000143801	PSEN2	1	3757	588	824	571	404	548	814	1075	591	3026	3110	1447	1776	171	1845	2168	876	1109	1266	1101	1674	1104	1261	1481	1455	1048	953	759	567	1325	827	562	568	9347	421	3178	1167	1414	813	2689	2106	1523	2058	2189	2774	2323	1544	2295	3069	784	1066	545	498	568	259	1241	652	323	554	357	499	741	479	1150	468	705	1881	1131	2598	644	751	1054	1516	1355	2652	2234	870	907	1055	1146	519	1055	1759	1621	1149	2939	2204	1973	6163	1213	0	3547	1291	3806	1084	1487	3097
ENSG00000021574	SPAST	2	5213	3377	4437	3986	2497	10450	4423	4206	4579	16033	19269	10992	11577	701	12022	2859	3158	7172	13468	6740	7560	8548	12148	10758	6500	2483	2186	2330	3563	3418	4004	4406	1848	50573	2288	11634	6998	4939	6475	19530	11178	10298	18121	8055	18715	11453	9693	11273	7131	2784	1603	2371	1697	3604	1334	1334	3478	2094	1600	2282	3594	6780	258	2005	2324	2190	4897	8940	12520	1695	4254	5229	5566	11718	7035	3871	6710	9583	4540	10505	3333	11885	10483	25602	24220	12959	17058	11684	17999	13777	0	19645	9059	29322	10288	15474	20631
ENSG00000116001	TIA1	2	6607	8442	6921	10646	4125	14694	9326	8320	5307	30162	27100	15509	13172	881	16925	5992	3614	10618	21441	11629	19693	16403	19052	17664	10859	5578	4340	5214	5572	5764	7425	8716	2664	90229	3548	20601	7788	11389	13491	28143	20681	18445	26401	19711	30378	24027	28702	13916	21367	6293	3186	5550	3093	6917	2582	3421	5946	3949	3306	3780	5069	9907	436	4367	4563	6173	7424	16966	22699	1979	7061	10875	9889	21379	10938	6044	14420	14070	11386	20209	5739	14232	15302	30811	22199	22995	20271	22465	46838	33982	1	41510	10753	50461	14882	32291	36220
ENSG00000204843	DCTN1	2	10439	18484	26703	11025	10029	11454	21181	25774	13459	48736	50398	30884	54873	2261	51217	49301	10457	27129	28166	28875	26848	35226	18293	26148	38562	32634	27588	18476	19746	36262	19427	12291	12914	211096	7585	48092	22355	19571	24505	57766	44634	34873	45355	66041	50794	48712	45710	33420	64467	14755	28458	16213	14397	15952	10711	25546	15145	8812	21569	9879	10793	17349	1008	22313	10360	18914	40352	40371	50848	20610	29317	22910	36963	36060	77565	51336	16842	22007	20761	17073	12152	25532	26897	23682	25722	53021	45492	40512	63778	18470	8	73977	29429	78138	16207	37955	71863
ENSG00000003393	ALS2	2	10381	4374	3418	4057	2692	5084	5868	4639	3820	11044	13579	8701	10309	528	8046	3336	3804	6771	9198	7787	7949	8976	7595	6109	7716	3560	3174	2147	2716	3478	4727	3063	2139	40027	1700	13533	5621	5595	5331	14666	10605	8235	12577	10737	8945	10542	14426	8807	7463	2889	1941	3279	1535	3856	1577	2428	3028	2105	1995	2470	2798	4023	752	2631	2512	3685	4458	7116	8249	1072	4167	5502	7465	9927	8846	4409	5227	6457	5919	6750	3155	6925	7469	11606	8083	12694	11701	9918	12403	9594	2	22227	4931	27610	6242	12320	14959
ENSG00000178568	ERBB4	2	13007	4	13	3	5	12	6	19	10	11	61	33	138	38	28	130	1329	23	100	24	98	17	88	20	15	25	24	6	19	17	2	50	15	27	0	23	0	2	4	14	10	9	38	9	51	30	35	849	30	12	9	3	10	17	10	18	5	3	85	4	9	8	472	74	5	0	187	7	22	101	192	2	31	11	481	468	56	22	1	84	3	48	17	51	39	22	30	28	468	36	0	52	27	130	22	53	52
ENSG00000127824	TUBA4A	2	4079	34736	39275	15330	16174	28557	40598	26958	28953	72689	77337	46316	74190	2782	105740	35317	19410	51406	43741	48614	38026	47398	37439	37153	57907	21880	22735	21445	26629	40720	26138	21890	16061	286005	12070	75093	41974	28113	39658	86454	74008	65195	77910	65747	81244	61909	65599	45508	49167	19907	25203	22761	14181	30365	18153	22368	21338	8284	19333	16437	13492	20381	161	16702	12695	27152	40430	55512	77705	20784	27026	28162	77838	47602	75278	32090	37010	49579	23118	36530	27735	70849	65149	62276	63921	69660	76798	64309	50945	34921	10	117366	43958	156919	39474	60037	128121
ENSG00000116106	EPHA4	2	7554	4178	4446	7954	2231	2824	4562	5626	2686	8559	6264	5676	6620	548	7519	3985	2767	7097	7848	7275	14263	8454	6986	7335	4127	2893	2706	1777	1591	4245	5054	2591	719	44201	2086	9853	3747	5365	4265	15503	10146	7807	9099	6354	12990	11717	15248	7420	17173	3585	2729	2892	1825	3622	992	1965	3566	1419	1687	2735	1325	2982	492	1947	1693	2436	2929	5771	11560	1456	5083	3386	9399	10442	4455	6346	4793	4075	3426	6849	2003	5137	6879	7435	6227	8375	8864	9270	1708	10491	1	10600	4244	20523	4184	14018	12019
ENSG00000083937	CHMP2B	3	3106	1350	1565	1174	813	2952	1504	1437	1654	6306	6716	3089	3461	134	4421	1324	1101	2353	3680	2156	2700	3093	3153	3220	2123	851	765	775	1173	1162	1442	1244	718	14735	905	3882	2302	1642	1839	6352	3480	3683	5178	3220	7025	3900	3637	4060	2687	899	589	722	480	1179	426	657	1061	720	417	760	1151	2228	105	598	741	1177	1382	3154	4952	440	964	2213	2355	3271	2028	1288	2076	2867	1646	3374	1032	3813	3799	6913	7099	4382	7053	4021	5406	4539	0	8600	2892	10313	2599	4600	7488
ENSG00000145321	GC	4	2381	1	0	1	2	2	0	1	1	3	0	13	32	0	13	34	419	7	23	8	10	5	26	4	12	2	1	1	3	13	1	8	3	20	12	2	0	0	0	12	2	2	5	3	8	5	2	302	3	6	3	2	0	11	3	8	0	2	27	2	0	0	169	17	1	11	44	0	14	0	188	2	3	1	167	208	1	7	0	29	1	9	6	23	21	3	5	3	111	18	0	18	4	44	5	12	1
ENSG00000137601	NEK1	4	7755	2487	1297	3471	1375	5265	2717	2037	1142	9152	7406	5079	3479	183	4723	1639	1722	3066	5939	2060	6396	4401	6244	3938	2098	1766	1244	1411	1480	1501	2169	3437	787	19867	1251	3811	3225	3054	2890	7218	4028	4447	6376	5077	9680	6263	8144	4980	5200	1494	561	1167	698	1706	603	674	1802	1112	939	1234	1701	3908	642	981	1815	2041	1306	5665	7923	340	2790	2533	2929	6381	3787	2507	3853	2933	3301	8062	1594	3997	5795	7421	9047	4447	4855	7426	11091	10037	1	13069	3313	14441	4331	9897	7993
